raga_name|kriti_name|composer_name|Link
hindolam|Imaya Malai Petra|Lalitha Dasa|
hindolam|Karunalaya Nidhiye|Samuel Vedanayagam Pillai|
hindolam|Mal Marugan Murugan|Tanjavur Sankara Iyer|
hindolam|Mamavatu Shri Sarasvati|Mysore Vasudevachar|
hindolam|Manasuloni Marmamulu|Tyagaraja|
hindolam|Manavakula Bhusana|G. N. Balasubramaniam|
hindolam|Matsi Mighunda|Dandapani Desikar|
hindolam|Ma Ramanan Uma Ramanan|Papanasam Sivan|
hindolam|Nambik Kettavar|Papanasam Sivan|
hindolam|Nava Lavanya|Muthiah Bhagavatar|
hindolam|Nirajaksi Kamaksi|Muthuswami Dikshitar|
hindolam|Padmanabha Pahi|Swathi Thirunal Rama Varma|
hindolam|Ragam Tanam Pallavi|Own/others|
hindolam|Ramanukku Mannan Mudi|Arunachala Kavi|
hindolam|Sakala Kala Vani|G. N. Balasubramaniam|
hindolam|Samagana Lolane|Papanasam Sivan|
hindolam|Samagana Lole|G. N. Balasubramaniam|
hindolam|Samaja Vara Gamana|Tyagaraja|
hindolam|Sami Ninne Kori Yunnanu|Poochi Srinivasa Iyengar|
hindolam|Sarasvati Vidhiyuvati|Muthuswami Dikshitar|
hindolam|Shivanai Ninandavar|Papanasam Sivan|
hindolam|Tillana|Poochi Srinivasa Iyengar|
hindolam|Tirupparam Kunra|Papanasam Sivan|
hindolam|Tunai Purindarul|Papanasam Sivan|
vishnupriya|Balasubramanyan Padame|Tanjavur Sankara Iyer|
vishnupriya|Ragam Tanam Pallavi|Own/others|
malavashri|Evarunnaru Brova|Tyagaraja|
phalamanjari|Palukutace Phalamemi|Patnam Subramania Iyer|
phalamanjari|Sanaatana Paramapavana|Tyagaraja|
phalamanjari|Shri Narasimha Mam Pahi|Tyagaraja|
phalamanjari|Shri Venkatesha|Patnam Subramania Iyer|
pavani|Anjade Nenjame|Koteeswara Iyer|
pavani|Lemidelpa Peddalevaru|Tyagaraja|
